cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 2), (2, 2)}
number of topology types: 3
Epoch 0: train_loss=4.01, train_acc=0.57, val_acc=0.68, time=4.43
Epoch 181: train_loss=0.41, train_acc=0.86, val_acc=0.74, time=0.50
Epoch 182: train_loss=0.36, train_acc=0.83, val_acc=0.74, time=0.30
Epoch 183: train_loss=0.38, train_acc=0.89, val_acc=0.84, time=0.40
Epoch 184: train_loss=0.32, train_acc=0.86, val_acc=0.84, time=0.33
Epoch 185: train_loss=0.31, train_acc=0.91, val_acc=0.84, time=0.40
Epoch 186: train_loss=0.35, train_acc=0.86, val_acc=0.84, time=0.49
Epoch 187: train_loss=0.29, train_acc=0.86, val_acc=0.79, time=0.46
Epoch 188: train_loss=0.21, train_acc=0.93, val_acc=0.84, time=0.51
Epoch 189: train_loss=0.32, train_acc=0.83, val_acc=0.84, time=0.44
Epoch 190: train_loss=0.35, train_acc=0.83, val_acc=0.84, time=0.40
Epoch 191: train_loss=0.20, train_acc=0.91, val_acc=0.84, time=0.54
Epoch 192: train_loss=0.34, train_acc=0.85, val_acc=0.84, time=0.47
Epoch 193: train_loss=0.32, train_acc=0.86, val_acc=0.84, time=0.55
Epoch 194: train_loss=0.31, train_acc=0.88, val_acc=0.84, time=0.46
Epoch 195: train_loss=0.33, train_acc=0.87, val_acc=0.84, time=0.40
Epoch 196: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.51
Epoch 197: train_loss=0.29, train_acc=0.88, val_acc=0.84, time=0.53
Epoch 198: train_loss=0.32, train_acc=0.84, val_acc=0.84, time=0.60
Epoch 199: train_loss=0.33, train_acc=0.87, val_acc=0.79, time=0.47
topology types: {(0, 1), (1, 2), (2, 2)}
number of topology types: 3
Epoch 0: train_loss=1.78, train_acc=0.64, val_acc=0.63, time=0.49
Epoch 1: train_loss=1.29, train_acc=0.78, val_acc=0.63, time=0.62
Epoch 2: train_loss=1.31, train_acc=0.73, val_acc=0.63, time=0.63
Epoch 3: train_loss=1.16, train_acc=0.78, val_acc=0.74, time=0.55
Epoch 4: train_loss=1.10, train_acc=0.77, val_acc=0.79, time=0.46
Epoch 5: train_loss=0.88, train_acc=0.77, val_acc=0.84, time=0.54
Epoch 6: train_loss=1.24, train_acc=0.70, val_acc=0.79, time=0.61
Epoch 7: train_loss=0.77, train_acc=0.76, val_acc=0.79, time=0.62
Epoch 8: train_loss=0.85, train_acc=0.78, val_acc=0.74, time=0.70
Epoch 9: train_loss=0.91, train_acc=0.82, val_acc=0.79, time=0.65
Epoch 10: train_loss=0.89, train_acc=0.78, val_acc=0.79, time=0.64
Epoch 11: train_loss=0.80, train_acc=0.80, val_acc=0.84, time=0.60
Epoch 12: train_loss=0.60, train_acc=0.80, val_acc=0.79, time=0.68
Epoch 13: train_loss=0.78, train_acc=0.78, val_acc=0.84, time=0.86
Epoch 14: train_loss=0.74, train_acc=0.76, val_acc=0.79, time=0.59
Epoch 15: train_loss=0.62, train_acc=0.80, val_acc=0.79, time=0.51
Epoch 16: train_loss=0.88, train_acc=0.79, val_acc=0.84, time=0.62
Epoch 17: train_loss=0.65, train_acc=0.80, val_acc=0.84, time=0.47
Epoch 18: train_loss=0.80, train_acc=0.82, val_acc=0.84, time=0.56
Epoch 19: train_loss=0.59, train_acc=0.80, val_acc=0.84, time=0.59
Epoch 20: train_loss=0.74, train_acc=0.82, val_acc=0.89, time=0.60
Epoch 21: train_loss=0.76, train_acc=0.77, val_acc=0.84, time=0.65
Epoch 22: train_loss=0.72, train_acc=0.78, val_acc=0.84, time=0.56
Epoch 23: train_loss=0.58, train_acc=0.82, val_acc=0.74, time=0.50
Epoch 24: train_loss=0.52, train_acc=0.82, val_acc=0.84, time=0.57
Epoch 25: train_loss=0.58, train_acc=0.79, val_acc=0.84, time=0.45
Epoch 26: train_loss=0.68, train_acc=0.81, val_acc=0.84, time=0.51
Epoch 27: train_loss=0.58, train_acc=0.78, val_acc=0.89, time=0.43
Epoch 28: train_loss=0.84, train_acc=0.79, val_acc=0.89, time=0.52
Epoch 29: train_loss=0.66, train_acc=0.79, val_acc=0.84, time=0.46
Epoch 30: train_loss=0.51, train_acc=0.83, val_acc=0.84, time=0.49
Epoch 31: train_loss=0.58, train_acc=0.81, val_acc=0.84, time=0.58
Epoch 32: train_loss=0.77, train_acc=0.75, val_acc=0.84, time=0.44
Epoch 33: train_loss=0.65, train_acc=0.78, val_acc=0.89, time=0.49
Epoch 34: train_loss=0.60, train_acc=0.85, val_acc=0.89, time=0.53
Epoch 35: train_loss=0.62, train_acc=0.79, val_acc=0.84, time=0.46
Epoch 36: train_loss=0.39, train_acc=0.83, val_acc=0.84, time=0.50
Epoch 37: train_loss=0.51, train_acc=0.85, val_acc=0.89, time=0.46
Epoch 38: train_loss=0.64, train_acc=0.76, val_acc=0.84, time=0.42
Epoch 39: train_loss=0.49, train_acc=0.85, val_acc=0.95, time=0.29
Epoch 40: train_loss=0.51, train_acc=0.84, val_acc=0.95, time=0.47
Epoch 41: train_loss=0.53, train_acc=0.80, val_acc=0.84, time=0.45
Epoch 42: train_loss=0.57, train_acc=0.78, val_acc=0.89, time=0.47
Epoch 43: train_loss=0.47, train_acc=0.85, val_acc=0.84, time=0.58
Epoch 44: train_loss=0.56, train_acc=0.82, val_acc=0.84, time=0.48
Epoch 45: train_loss=0.69, train_acc=0.82, val_acc=0.84, time=0.46
Epoch 46: train_loss=0.60, train_acc=0.82, val_acc=0.84, time=0.56
Epoch 47: train_loss=0.60, train_acc=0.78, val_acc=0.79, time=0.55
Epoch 48: train_loss=0.55, train_acc=0.83, val_acc=0.89, time=0.48
Epoch 49: train_loss=0.43, train_acc=0.82, val_acc=0.95, time=0.56
Epoch 50: train_loss=0.51, train_acc=0.81, val_acc=0.95, time=0.54
Epoch 51: train_loss=0.57, train_acc=0.82, val_acc=0.95, time=0.58
Epoch 52: train_loss=0.54, train_acc=0.79, val_acc=0.89, time=0.64
Epoch 53: train_loss=0.37, train_acc=0.87, val_acc=0.95, time=0.58
Epoch 54: train_loss=0.43, train_acc=0.86, val_acc=0.89, time=0.56
Epoch 55: train_loss=0.38, train_acc=0.86, val_acc=0.89, time=0.54
Epoch 56: train_loss=0.43, train_acc=0.84, val_acc=0.95, time=0.72
Epoch 57: train_loss=0.44, train_acc=0.84, val_acc=0.95, time=0.67
Epoch 58: train_loss=0.29, train_acc=0.89, val_acc=0.84, time=0.62
Epoch 59: train_loss=0.36, train_acc=0.87, val_acc=0.95, time=0.45
Epoch 60: train_loss=0.38, train_acc=0.83, val_acc=0.95, time=0.56
Epoch 61: train_loss=0.33, train_acc=0.86, val_acc=0.95, time=0.59
Epoch 62: train_loss=0.48, train_acc=0.85, val_acc=0.84, time=0.68
Epoch 63: train_loss=0.45, train_acc=0.85, val_acc=0.79, time=0.64
Epoch 64: train_loss=0.51, train_acc=0.84, val_acc=0.95, time=0.48
Epoch 65: train_loss=0.36, train_acc=0.84, val_acc=0.84, time=0.46
Epoch 66: train_loss=0.31, train_acc=0.85, val_acc=0.95, time=0.57
Epoch 67: train_loss=0.37, train_acc=0.85, val_acc=0.84, time=0.49
Epoch 68: train_loss=0.36, train_acc=0.89, val_acc=0.95, time=0.44
Epoch 69: train_loss=0.42, train_acc=0.84, val_acc=0.95, time=0.57
Epoch 70: train_loss=0.38, train_acc=0.83, val_acc=0.89, time=0.55
Epoch 71: train_loss=0.37, train_acc=0.85, val_acc=0.95, time=0.57
Epoch 72: train_loss=0.40, train_acc=0.83, val_acc=0.95, time=0.53
Epoch 73: train_loss=0.44, train_acc=0.82, val_acc=0.95, time=0.54
Epoch 74: train_loss=0.38, train_acc=0.83, val_acc=0.95, time=0.54
Epoch 75: train_loss=0.35, train_acc=0.85, val_acc=0.95, time=0.54
Epoch 76: train_loss=0.34, train_acc=0.85, val_acc=0.95, time=0.56
Epoch 77: train_loss=0.32, train_acc=0.89, val_acc=0.95, time=0.50
Epoch 78: train_loss=0.34, train_acc=0.89, val_acc=0.95, time=0.58
Epoch 79: train_loss=0.32, train_acc=0.87, val_acc=0.84, time=0.60
Epoch 80: train_loss=0.38, train_acc=0.82, val_acc=0.95, time=0.57
Epoch 81: train_loss=0.42, train_acc=0.83, val_acc=0.95, time=0.67
Epoch 82: train_loss=0.39, train_acc=0.85, val_acc=0.79, time=0.58
Epoch 83: train_loss=0.33, train_acc=0.86, val_acc=0.95, time=0.61
Epoch 84: train_loss=0.35, train_acc=0.83, val_acc=0.95, time=0.57
Epoch 85: train_loss=0.36, train_acc=0.86, val_acc=0.95, time=0.50
Epoch 86: train_loss=0.32, train_acc=0.86, val_acc=0.84, time=0.62
Epoch 87: train_loss=0.29, train_acc=0.87, val_acc=0.95, time=0.57
Epoch 88: train_loss=0.35, train_acc=0.85, val_acc=0.95, time=0.53
Epoch 89: train_loss=0.32, train_acc=0.86, val_acc=0.84, time=0.63
Epoch 90: train_loss=0.35, train_acc=0.84, val_acc=0.95, time=0.50
Epoch 91: train_loss=0.39, train_acc=0.85, val_acc=0.95, time=0.64
Epoch 92: train_loss=0.26, train_acc=0.90, val_acc=0.89, time=0.63
Epoch 93: train_loss=0.30, train_acc=0.86, val_acc=0.89, time=0.67
Epoch 94: train_loss=0.32, train_acc=0.86, val_acc=0.84, time=0.66
Epoch 95: train_loss=0.29, train_acc=0.88, val_acc=0.84, time=0.72
Epoch 96: train_loss=0.43, train_acc=0.86, val_acc=0.89, time=0.62
Epoch 97: train_loss=0.35, train_acc=0.84, val_acc=0.95, time=0.57
Epoch 98: train_loss=0.27, train_acc=0.88, val_acc=0.95, time=0.54
Epoch 99: train_loss=0.36, train_acc=0.83, val_acc=0.95, time=0.57
Epoch 100: train_loss=0.29, train_acc=0.86, val_acc=0.89, time=0.62
Epoch 101: train_loss=0.34, train_acc=0.85, val_acc=0.95, time=0.60
Epoch 102: train_loss=0.36, train_acc=0.86, val_acc=0.95, time=0.67
Epoch 103: train_loss=0.32, train_acc=0.86, val_acc=0.95, time=0.58
Epoch 104: train_loss=0.31, train_acc=0.85, val_acc=0.95, time=0.61
Epoch 105: train_loss=0.39, train_acc=0.85, val_acc=0.95, time=0.51
Epoch 106: train_loss=0.43, train_acc=0.80, val_acc=0.95, time=0.43
Epoch 107: train_loss=0.26, train_acc=0.88, val_acc=0.95, time=0.49
Epoch 108: train_loss=0.29, train_acc=0.87, val_acc=0.95, time=0.39
Epoch 109: train_loss=0.30, train_acc=0.88, val_acc=0.95, time=0.64
Epoch 110: train_loss=0.31, train_acc=0.86, val_acc=0.95, time=0.56
Epoch 111: train_loss=0.25, train_acc=0.85, val_acc=0.95, time=0.56
Epoch 112: train_loss=0.35, train_acc=0.86, val_acc=0.95, time=0.51
Epoch 113: train_loss=0.38, train_acc=0.85, val_acc=0.95, time=0.52
Epoch 114: train_loss=0.34, train_acc=0.86, val_acc=0.95, time=0.55
Epoch 115: train_loss=0.35, train_acc=0.84, val_acc=0.95, time=0.57
Epoch 116: train_loss=0.29, train_acc=0.86, val_acc=0.95, time=0.58
Epoch 117: train_loss=0.28, train_acc=0.86, val_acc=0.95, time=0.49
Epoch 118: train_loss=0.29, train_acc=0.87, val_acc=0.95, time=0.45
Epoch 119: train_loss=0.31, train_acc=0.87, val_acc=0.95, time=0.54
Epoch 120: train_loss=0.35, train_acc=0.85, val_acc=0.95, time=0.56
Epoch 121: train_loss=0.31, train_acc=0.86, val_acc=0.95, time=0.66
Epoch 122: train_loss=0.29, train_acc=0.86, val_acc=0.95, time=0.57
Epoch 123: train_loss=0.27, train_acc=0.89, val_acc=0.95, time=0.49
Epoch 124: train_loss=0.32, train_acc=0.86, val_acc=0.95, time=0.42
Epoch 125: train_loss=0.41, train_acc=0.85, val_acc=0.95, time=0.47
Epoch 126: train_loss=0.32, train_acc=0.86, val_acc=0.95, time=0.50
Epoch 127: train_loss=0.30, train_acc=0.83, val_acc=0.95, time=0.54
Epoch 128: train_loss=0.26, train_acc=0.88, val_acc=0.95, time=0.48
Epoch 129: train_loss=0.29, train_acc=0.85, val_acc=0.95, time=0.57
Epoch 130: train_loss=0.27, train_acc=0.85, val_acc=0.95, time=0.54
Epoch 131: train_loss=0.36, train_acc=0.85, val_acc=0.95, time=0.64
Epoch 132: train_loss=0.28, train_acc=0.91, val_acc=0.95, time=0.65
Epoch 133: train_loss=0.29, train_acc=0.85, val_acc=0.95, time=0.61
Epoch 134: train_loss=0.33, train_acc=0.87, val_acc=0.95, time=0.64
Epoch 135: train_loss=0.27, train_acc=0.86, val_acc=0.95, time=0.58
Epoch 136: train_loss=0.26, train_acc=0.89, val_acc=0.95, time=0.54
Epoch 137: train_loss=0.32, train_acc=0.85, val_acc=0.95, time=0.53
Epoch 138: train_loss=0.33, train_acc=0.86, val_acc=0.95, time=0.54
Epoch 139: train_loss=0.37, train_acc=0.85, val_acc=0.95, time=0.60
Epoch 140: train_loss=0.31, train_acc=0.85, val_acc=0.95, time=0.64
Epoch 141: train_loss=0.36, train_acc=0.86, val_acc=0.95, time=0.65
Epoch 142: train_loss=0.39, train_acc=0.85, val_acc=0.95, time=0.66
Epoch 143: train_loss=0.32, train_acc=0.85, val_acc=0.95, time=0.70
Epoch 144: train_loss=0.37, train_acc=0.85, val_acc=0.95, time=0.62
Epoch 145: train_loss=0.26, train_acc=0.88, val_acc=0.95, time=0.62
Epoch 146: train_loss=0.31, train_acc=0.84, val_acc=0.95, time=0.71
Epoch 147: train_loss=0.33, train_acc=0.85, val_acc=0.95, time=0.61
Epoch 148: train_loss=0.29, train_acc=0.87, val_acc=0.95, time=0.60
Epoch 149: train_loss=0.31, train_acc=0.85, val_acc=0.95, time=0.58
Epoch 150: train_loss=0.23, train_acc=0.92, val_acc=0.95, time=0.53
Epoch 151: train_loss=0.30, train_acc=0.85, val_acc=0.95, time=0.49
Epoch 152: train_loss=0.22, train_acc=0.90, val_acc=0.95, time=0.49
Epoch 153: train_loss=0.27, train_acc=0.87, val_acc=0.95, time=0.51
Epoch 154: train_loss=0.31, train_acc=0.85, val_acc=0.95, time=0.46
Epoch 155: train_loss=0.25, train_acc=0.89, val_acc=0.95, time=0.49
Epoch 156: train_loss=0.35, train_acc=0.87, val_acc=0.95, time=0.40
Epoch 157: train_loss=0.26, train_acc=0.88, val_acc=0.95, time=0.49
Epoch 158: train_loss=0.26, train_acc=0.89, val_acc=0.95, time=0.57
Epoch 159: train_loss=0.27, train_acc=0.87, val_acc=0.95, time=0.57
Epoch 160: train_loss=0.24, train_acc=0.86, val_acc=0.95, time=0.46
Epoch 161: train_loss=0.32, train_acc=0.86, val_acc=0.95, time=0.56
Epoch 162: train_loss=0.33, train_acc=0.83, val_acc=0.95, time=0.54
Epoch 163: train_loss=0.24, train_acc=0.89, val_acc=0.95, time=0.58
Epoch 164: train_loss=0.38, train_acc=0.81, val_acc=0.95, time=0.63
Epoch 165: train_loss=0.30, train_acc=0.86, val_acc=0.95, time=0.58
Epoch 166: train_loss=0.28, train_acc=0.88, val_acc=0.95, time=0.45
Epoch 167: train_loss=0.24, train_acc=0.89, val_acc=0.95, time=0.39
Epoch 168: train_loss=0.29, train_acc=0.85, val_acc=0.95, time=0.54
Epoch 169: train_loss=0.25, train_acc=0.90, val_acc=0.95, time=0.50
Epoch 170: train_loss=0.29, train_acc=0.88, val_acc=0.95, time=0.52
Epoch 171: train_loss=0.31, train_acc=0.83, val_acc=0.95, time=0.49
Epoch 172: train_loss=0.30, train_acc=0.85, val_acc=0.95, time=0.52
Epoch 173: train_loss=0.29, train_acc=0.86, val_acc=0.95, time=0.46
Epoch 174: train_loss=0.23, train_acc=0.91, val_acc=0.95, time=0.50
Epoch 175: train_loss=0.23, train_acc=0.88, val_acc=0.95, time=0.51
Epoch 176: train_loss=0.26, train_acc=0.86, val_acc=0.95, time=0.46
Epoch 177: train_loss=0.28, train_acc=0.86, val_acc=0.95, time=0.55
Epoch 178: train_loss=0.33, train_acc=0.85, val_acc=0.95, time=0.61
Epoch 179: train_loss=0.27, train_acc=0.87, val_acc=0.95, time=0.57
Epoch 180: train_loss=0.29, train_acc=0.89, val_acc=0.95, time=0.62
Epoch 181: train_loss=0.32, train_acc=0.85, val_acc=0.95, time=0.59
Epoch 182: train_loss=0.24, train_acc=0.90, val_acc=0.95, time=0.62
Epoch 183: train_loss=0.29, train_acc=0.87, val_acc=0.95, time=0.62
Epoch 184: train_loss=0.26, train_acc=0.89, val_acc=0.95, time=0.59
Epoch 185: train_loss=0.34, train_acc=0.86, val_acc=0.95, time=0.73
Epoch 186: train_loss=0.23, train_acc=0.89, val_acc=0.95, time=0.59
Epoch 187: train_loss=0.32, train_acc=0.87, val_acc=0.89, time=0.58
Epoch 188: train_loss=0.29, train_acc=0.87, val_acc=0.84, time=0.55
Epoch 189: train_loss=0.33, train_acc=0.85, val_acc=0.95, time=0.49
Epoch 190: train_loss=0.31, train_acc=0.85, val_acc=0.95, time=0.61
Epoch 191: train_loss=0.29, train_acc=0.85, val_acc=0.95, time=0.61
Epoch 192: train_loss=0.31, train_acc=0.86, val_acc=0.89, time=0.66
Epoch 193: train_loss=0.30, train_acc=0.86, val_acc=0.95, time=0.61
Epoch 194: train_loss=0.27, train_acc=0.86, val_acc=0.95, time=0.61
Epoch 195: train_loss=0.31, train_acc=0.86, val_acc=0.95, time=0.60
Epoch 196: train_loss=0.28, train_acc=0.86, val_acc=0.95, time=0.62
Epoch 197: train_loss=0.27, train_acc=0.89, val_acc=0.95, time=0.63
Epoch 198: train_loss=0.36, train_acc=0.84, val_acc=0.95, time=0.62
Epoch 199: train_loss=0.36, train_acc=0.85, val_acc=0.95, time=0.57
topology types: {(0, 1), (1, 2), (2, 2)}
number of topology types: 3
Epoch 0: train_loss=2.13, train_acc=0.64, val_acc=0.67, time=0.59
Epoch 1: train_loss=1.83, train_acc=0.78, val_acc=0.67, time=0.57
Epoch 2: train_loss=1.48, train_acc=0.75, val_acc=0.67, time=0.57
Epoch 3: train_loss=1.45, train_acc=0.71, val_acc=0.72, time=0.58
Epoch 4: train_loss=1.33, train_acc=0.72, val_acc=0.89, time=0.60
Epoch 5: train_loss=1.26, train_acc=0.73, val_acc=0.89, time=0.53
Epoch 6: train_loss=0.95, train_acc=0.73, val_acc=0.89, time=0.55
Epoch 7: train_loss=0.79, train_acc=0.76, val_acc=0.72, time=0.66
Epoch 8: train_loss=1.25, train_acc=0.74, val_acc=0.89, time=0.66
Epoch 9: train_loss=0.89, train_acc=0.77, val_acc=0.89, time=0.63
Epoch 10: train_loss=1.19, train_acc=0.74, val_acc=0.94, time=0.52
Epoch 11: train_loss=1.03, train_acc=0.75, val_acc=0.72, time=0.58
Epoch 12: train_loss=0.84, train_acc=0.80, val_acc=1.00, time=0.62
Epoch 13: train_loss=1.00, train_acc=0.75, val_acc=1.00, time=0.47
Epoch 14: train_loss=0.68, train_acc=0.78, val_acc=1.00, time=0.56
Epoch 15: train_loss=0.96, train_acc=0.74, val_acc=0.78, time=0.52
Epoch 16: train_loss=0.62, train_acc=0.81, val_acc=1.00, time=0.70
Epoch 17: train_loss=1.00, train_acc=0.75, val_acc=0.94, time=0.57
Epoch 18: train_loss=0.54, train_acc=0.81, val_acc=1.00, time=0.54
Epoch 19: train_loss=0.67, train_acc=0.76, val_acc=0.94, time=0.41
Epoch 20: train_loss=0.81, train_acc=0.76, val_acc=1.00, time=0.41
Epoch 21: train_loss=0.73, train_acc=0.77, val_acc=1.00, time=0.43
Epoch 22: train_loss=0.53, train_acc=0.84, val_acc=1.00, time=0.52
Epoch 23: train_loss=0.73, train_acc=0.80, val_acc=1.00, time=0.60
Epoch 24: train_loss=0.58, train_acc=0.79, val_acc=1.00, time=0.58
Epoch 25: train_loss=0.72, train_acc=0.79, val_acc=1.00, time=0.55
Epoch 26: train_loss=0.59, train_acc=0.77, val_acc=1.00, time=0.63
Epoch 27: train_loss=0.66, train_acc=0.80, val_acc=1.00, time=0.59
Epoch 28: train_loss=0.54, train_acc=0.81, val_acc=1.00, time=0.73
Epoch 29: train_loss=0.68, train_acc=0.81, val_acc=1.00, time=0.61
Epoch 30: train_loss=0.63, train_acc=0.82, val_acc=1.00, time=0.63
Epoch 31: train_loss=0.67, train_acc=0.78, val_acc=1.00, time=0.60
Epoch 32: train_loss=0.69, train_acc=0.78, val_acc=1.00, time=0.83
Epoch 33: train_loss=0.73, train_acc=0.78, val_acc=0.94, time=0.65
Epoch 34: train_loss=0.58, train_acc=0.82, val_acc=0.94, time=0.58
Epoch 35: train_loss=0.64, train_acc=0.82, val_acc=0.89, time=0.61
Epoch 36: train_loss=0.67, train_acc=0.76, val_acc=1.00, time=0.53
Epoch 37: train_loss=0.65, train_acc=0.80, val_acc=0.89, time=0.54
Epoch 38: train_loss=0.64, train_acc=0.78, val_acc=1.00, time=0.47
Epoch 39: train_loss=0.58, train_acc=0.82, val_acc=1.00, time=0.48
Epoch 40: train_loss=0.57, train_acc=0.79, val_acc=0.94, time=0.52
Epoch 41: train_loss=0.38, train_acc=0.83, val_acc=1.00, time=0.57
Epoch 42: train_loss=0.55, train_acc=0.84, val_acc=1.00, time=0.53
Epoch 43: train_loss=0.68, train_acc=0.79, val_acc=1.00, time=0.51
Epoch 44: train_loss=0.48, train_acc=0.85, val_acc=1.00, time=0.42
Epoch 45: train_loss=0.45, train_acc=0.81, val_acc=0.94, time=0.44
Epoch 46: train_loss=0.40, train_acc=0.85, val_acc=0.94, time=0.56
Epoch 47: train_loss=0.52, train_acc=0.81, val_acc=1.00, time=0.53
Epoch 48: train_loss=0.49, train_acc=0.85, val_acc=1.00, time=0.56
Epoch 49: train_loss=0.66, train_acc=0.79, val_acc=1.00, time=0.51
Epoch 50: train_loss=0.42, train_acc=0.86, val_acc=1.00, time=0.52
Epoch 51: train_loss=0.39, train_acc=0.86, val_acc=1.00, time=0.48
Epoch 52: train_loss=0.56, train_acc=0.83, val_acc=1.00, time=0.51
Epoch 53: train_loss=0.63, train_acc=0.78, val_acc=1.00, time=0.61
Epoch 54: train_loss=0.49, train_acc=0.82, val_acc=1.00, time=0.49
Epoch 55: train_loss=0.47, train_acc=0.84, val_acc=1.00, time=0.23
Epoch 56: train_loss=0.64, train_acc=0.76, val_acc=0.94, time=0.33
Epoch 57: train_loss=0.41, train_acc=0.83, val_acc=1.00, time=0.51
Epoch 58: train_loss=0.53, train_acc=0.82, val_acc=0.94, time=0.43
Epoch 59: train_loss=0.52, train_acc=0.82, val_acc=0.94, time=0.45
Epoch 60: train_loss=0.46, train_acc=0.81, val_acc=1.00, time=0.40
Epoch 61: train_loss=0.44, train_acc=0.84, val_acc=1.00, time=0.45
Epoch 62: train_loss=0.41, train_acc=0.84, val_acc=1.00, time=0.35
Epoch 63: train_loss=0.34, train_acc=0.84, val_acc=1.00, time=0.43
Epoch 64: train_loss=0.43, train_acc=0.86, val_acc=1.00, time=0.41
Epoch 65: train_loss=0.39, train_acc=0.81, val_acc=1.00, time=0.56
Epoch 66: train_loss=0.40, train_acc=0.85, val_acc=0.94, time=0.55
Epoch 67: train_loss=0.47, train_acc=0.81, val_acc=0.94, time=0.47
Epoch 68: train_loss=0.41, train_acc=0.84, val_acc=0.94, time=0.58
Epoch 69: train_loss=0.27, train_acc=0.87, val_acc=1.00, time=0.51
Epoch 70: train_loss=0.35, train_acc=0.84, val_acc=1.00, time=0.70
Epoch 71: train_loss=0.40, train_acc=0.85, val_acc=1.00, time=0.58
Epoch 72: train_loss=0.36, train_acc=0.83, val_acc=0.94, time=0.60
Epoch 73: train_loss=0.34, train_acc=0.84, val_acc=0.94, time=0.73
Epoch 74: train_loss=0.26, train_acc=0.89, val_acc=1.00, time=0.68
Epoch 75: train_loss=0.42, train_acc=0.84, val_acc=1.00, time=0.55
Epoch 76: train_loss=0.29, train_acc=0.86, val_acc=1.00, time=0.74
Epoch 77: train_loss=0.41, train_acc=0.82, val_acc=1.00, time=0.76
Epoch 78: train_loss=0.41, train_acc=0.84, val_acc=1.00, time=0.65
Epoch 79: train_loss=0.43, train_acc=0.84, val_acc=1.00, time=0.72
Epoch 80: train_loss=0.29, train_acc=0.85, val_acc=1.00, time=0.72
Epoch 81: train_loss=0.35, train_acc=0.85, val_acc=0.94, time=0.74
Epoch 82: train_loss=0.45, train_acc=0.85, val_acc=1.00, time=0.70
Epoch 83: train_loss=0.31, train_acc=0.86, val_acc=1.00, time=0.60
Epoch 84: train_loss=0.35, train_acc=0.85, val_acc=0.94, time=0.56
Epoch 85: train_loss=0.33, train_acc=0.81, val_acc=0.94, time=0.49
Epoch 86: train_loss=0.44, train_acc=0.86, val_acc=1.00, time=0.53
Epoch 87: train_loss=0.31, train_acc=0.86, val_acc=0.94, time=0.53
Epoch 88: train_loss=0.39, train_acc=0.81, val_acc=1.00, time=0.59
Epoch 89: train_loss=0.33, train_acc=0.85, val_acc=0.94, time=0.70
Epoch 90: train_loss=0.36, train_acc=0.86, val_acc=1.00, time=0.62
Epoch 91: train_loss=0.29, train_acc=0.85, val_acc=1.00, time=0.57
Epoch 92: train_loss=0.38, train_acc=0.84, val_acc=1.00, time=0.52
Epoch 93: train_loss=0.39, train_acc=0.82, val_acc=1.00, time=0.54
Epoch 94: train_loss=0.31, train_acc=0.86, val_acc=1.00, time=0.46
Epoch 95: train_loss=0.55, train_acc=0.81, val_acc=1.00, time=0.52
Epoch 96: train_loss=0.31, train_acc=0.87, val_acc=0.94, time=0.42
Epoch 97: train_loss=0.35, train_acc=0.84, val_acc=1.00, time=0.58
Epoch 98: train_loss=0.41, train_acc=0.81, val_acc=1.00, time=0.56
Epoch 99: train_loss=0.26, train_acc=0.82, val_acc=0.94, time=0.46
Epoch 100: train_loss=0.40, train_acc=0.82, val_acc=1.00, time=0.60
Epoch 101: train_loss=0.25, train_acc=0.86, val_acc=1.00, time=0.61
Epoch 102: train_loss=0.24, train_acc=0.91, val_acc=1.00, time=0.58
Epoch 103: train_loss=0.26, train_acc=0.88, val_acc=1.00, time=0.60
Epoch 104: train_loss=0.26, train_acc=0.89, val_acc=1.00, time=0.48
Epoch 105: train_loss=0.33, train_acc=0.85, val_acc=1.00, time=0.46
Epoch 106: train_loss=0.40, train_acc=0.84, val_acc=1.00, time=0.48
Epoch 107: train_loss=0.39, train_acc=0.84, val_acc=1.00, time=0.51
Epoch 108: train_loss=0.32, train_acc=0.85, val_acc=1.00, time=0.51
Epoch 109: train_loss=0.33, train_acc=0.85, val_acc=1.00, time=0.43
Epoch 110: train_loss=0.48, train_acc=0.78, val_acc=1.00, time=0.55
Epoch 111: train_loss=0.35, train_acc=0.88, val_acc=1.00, time=0.54
Epoch 112: train_loss=0.22, train_acc=0.89, val_acc=1.00, time=0.60
Epoch 113: train_loss=0.23, train_acc=0.86, val_acc=0.94, time=0.62
Epoch 114: train_loss=0.36, train_acc=0.86, val_acc=1.00, time=0.51
Epoch 115: train_loss=0.33, train_acc=0.84, val_acc=1.00, time=0.56
Epoch 116: train_loss=0.32, train_acc=0.86, val_acc=1.00, time=0.68
Epoch 117: train_loss=0.30, train_acc=0.86, val_acc=1.00, time=0.68
Epoch 118: train_loss=0.32, train_acc=0.84, val_acc=1.00, time=0.69
Epoch 119: train_loss=0.34, train_acc=0.87, val_acc=1.00, time=0.58
Epoch 120: train_loss=0.32, train_acc=0.86, val_acc=1.00, time=0.59
Epoch 121: train_loss=0.36, train_acc=0.85, val_acc=1.00, time=0.51
Epoch 122: train_loss=0.34, train_acc=0.88, val_acc=1.00, time=0.54
Epoch 123: train_loss=0.38, train_acc=0.84, val_acc=0.94, time=0.49
Epoch 124: train_loss=0.33, train_acc=0.85, val_acc=1.00, time=0.50
Epoch 125: train_loss=0.40, train_acc=0.86, val_acc=1.00, time=0.53
