cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=1.03, train_acc=0.69, val_acc=0.84, time=9.74
Epoch 185: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.13
Epoch 186: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.19
Epoch 187: train_loss=0.25, train_acc=0.89, val_acc=0.79, time=0.15
Epoch 188: train_loss=0.25, train_acc=0.89, val_acc=0.79, time=0.15
Epoch 189: train_loss=0.25, train_acc=0.89, val_acc=0.79, time=0.12
Epoch 190: train_loss=0.25, train_acc=0.90, val_acc=0.79, time=0.13
Epoch 191: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.17
Epoch 192: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.13
Epoch 193: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.14
Epoch 194: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.24
Epoch 195: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.19
Epoch 196: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.10
Epoch 197: train_loss=0.25, train_acc=0.92, val_acc=0.79, time=0.22
Epoch 198: train_loss=0.25, train_acc=0.92, val_acc=0.79, time=0.14
Epoch 199: train_loss=0.25, train_acc=0.91, val_acc=0.79, time=0.13
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=36.23, train_acc=0.33, val_acc=0.37, time=0.18
Epoch 1: train_loss=27.81, train_acc=0.33, val_acc=0.37, time=0.21
Epoch 2: train_loss=19.70, train_acc=0.33, val_acc=0.37, time=0.15
Epoch 3: train_loss=11.81, train_acc=0.33, val_acc=0.37, time=0.13
Epoch 4: train_loss=4.62, train_acc=0.33, val_acc=0.63, time=0.12
Epoch 5: train_loss=0.62, train_acc=0.69, val_acc=0.63, time=0.11
Epoch 6: train_loss=1.42, train_acc=0.67, val_acc=0.63, time=0.15
Epoch 7: train_loss=2.34, train_acc=0.67, val_acc=0.63, time=0.08
Epoch 8: train_loss=2.80, train_acc=0.67, val_acc=0.63, time=0.11
Epoch 9: train_loss=2.93, train_acc=0.67, val_acc=0.63, time=0.10
Epoch 10: train_loss=2.80, train_acc=0.67, val_acc=0.63, time=0.15
Epoch 11: train_loss=2.47, train_acc=0.66, val_acc=0.63, time=0.10
Epoch 12: train_loss=2.00, train_acc=0.67, val_acc=0.63, time=0.12
Epoch 13: train_loss=1.58, train_acc=0.69, val_acc=0.63, time=0.19
Epoch 14: train_loss=1.21, train_acc=0.71, val_acc=0.63, time=0.10
Epoch 15: train_loss=0.98, train_acc=0.79, val_acc=0.63, time=0.14
Epoch 16: train_loss=1.03, train_acc=0.76, val_acc=0.63, time=0.11
Epoch 17: train_loss=1.11, train_acc=0.80, val_acc=0.63, time=0.18
Epoch 18: train_loss=1.14, train_acc=0.79, val_acc=0.63, time=0.16
Epoch 19: train_loss=1.09, train_acc=0.80, val_acc=0.68, time=0.14
Epoch 20: train_loss=0.99, train_acc=0.80, val_acc=0.74, time=0.21
Epoch 21: train_loss=0.87, train_acc=0.79, val_acc=0.79, time=0.16
Epoch 22: train_loss=0.79, train_acc=0.80, val_acc=0.74, time=0.13
Epoch 23: train_loss=0.74, train_acc=0.80, val_acc=0.74, time=0.19
Epoch 24: train_loss=0.74, train_acc=0.78, val_acc=0.79, time=0.17
Epoch 25: train_loss=0.74, train_acc=0.76, val_acc=0.84, time=0.17
Epoch 26: train_loss=0.71, train_acc=0.77, val_acc=0.84, time=0.11
Epoch 27: train_loss=0.67, train_acc=0.76, val_acc=0.84, time=0.20
Epoch 28: train_loss=0.63, train_acc=0.79, val_acc=0.79, time=0.12
Epoch 29: train_loss=0.60, train_acc=0.79, val_acc=0.79, time=0.15
Epoch 30: train_loss=0.59, train_acc=0.80, val_acc=0.79, time=0.19
Epoch 31: train_loss=0.57, train_acc=0.80, val_acc=0.79, time=0.25
Epoch 32: train_loss=0.56, train_acc=0.81, val_acc=0.79, time=0.15
Epoch 33: train_loss=0.54, train_acc=0.81, val_acc=0.74, time=0.16
Epoch 34: train_loss=0.52, train_acc=0.82, val_acc=0.74, time=0.10
Epoch 35: train_loss=0.51, train_acc=0.80, val_acc=0.74, time=0.15
Epoch 36: train_loss=0.49, train_acc=0.79, val_acc=0.74, time=0.16
Epoch 37: train_loss=0.48, train_acc=0.79, val_acc=0.74, time=0.10
Epoch 38: train_loss=0.47, train_acc=0.79, val_acc=0.74, time=0.08
Epoch 39: train_loss=0.46, train_acc=0.79, val_acc=0.74, time=0.16
Epoch 40: train_loss=0.45, train_acc=0.79, val_acc=0.74, time=0.11
Epoch 41: train_loss=0.44, train_acc=0.79, val_acc=0.74, time=0.13
Epoch 42: train_loss=0.44, train_acc=0.80, val_acc=0.74, time=0.10
Epoch 43: train_loss=0.43, train_acc=0.80, val_acc=0.74, time=0.15
Epoch 44: train_loss=0.42, train_acc=0.80, val_acc=0.74, time=0.09
Epoch 45: train_loss=0.41, train_acc=0.80, val_acc=0.74, time=0.17
Epoch 46: train_loss=0.40, train_acc=0.80, val_acc=0.74, time=0.09
Epoch 47: train_loss=0.40, train_acc=0.82, val_acc=0.74, time=0.18
Epoch 48: train_loss=0.39, train_acc=0.82, val_acc=0.74, time=0.14
Epoch 49: train_loss=0.39, train_acc=0.81, val_acc=0.74, time=0.12
Epoch 50: train_loss=0.38, train_acc=0.80, val_acc=0.74, time=0.12
Epoch 51: train_loss=0.38, train_acc=0.81, val_acc=0.74, time=0.12
Epoch 52: train_loss=0.38, train_acc=0.82, val_acc=0.79, time=0.20
Epoch 53: train_loss=0.38, train_acc=0.82, val_acc=0.84, time=0.16
Epoch 54: train_loss=0.38, train_acc=0.82, val_acc=0.84, time=0.17
Epoch 55: train_loss=0.37, train_acc=0.82, val_acc=0.84, time=0.13
Epoch 56: train_loss=0.37, train_acc=0.82, val_acc=0.84, time=0.14
Epoch 57: train_loss=0.37, train_acc=0.82, val_acc=0.84, time=0.11
Epoch 58: train_loss=0.37, train_acc=0.82, val_acc=0.84, time=0.10
Epoch 59: train_loss=0.37, train_acc=0.82, val_acc=0.84, time=0.07
Epoch 60: train_loss=0.37, train_acc=0.82, val_acc=0.84, time=0.18
Epoch 61: train_loss=0.37, train_acc=0.82, val_acc=0.84, time=0.19
Epoch 62: train_loss=0.36, train_acc=0.82, val_acc=0.84, time=0.17
Epoch 63: train_loss=0.36, train_acc=0.82, val_acc=0.84, time=0.15
Epoch 64: train_loss=0.36, train_acc=0.82, val_acc=0.84, time=0.13
Epoch 65: train_loss=0.36, train_acc=0.82, val_acc=0.84, time=0.08
Epoch 66: train_loss=0.36, train_acc=0.82, val_acc=0.84, time=0.14
Epoch 67: train_loss=0.36, train_acc=0.81, val_acc=0.84, time=0.15
Epoch 68: train_loss=0.36, train_acc=0.81, val_acc=0.84, time=0.13
Epoch 69: train_loss=0.36, train_acc=0.81, val_acc=0.84, time=0.13
Epoch 70: train_loss=0.36, train_acc=0.81, val_acc=0.84, time=0.14
Epoch 71: train_loss=0.36, train_acc=0.81, val_acc=0.84, time=0.22
Epoch 72: train_loss=0.35, train_acc=0.81, val_acc=0.84, time=0.09
Epoch 73: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.15
Epoch 74: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.12
Epoch 75: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.11
Epoch 76: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.13
Epoch 77: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.18
Epoch 78: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.10
Epoch 79: train_loss=0.35, train_acc=0.82, val_acc=0.79, time=0.17
Epoch 80: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.18
Epoch 81: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.16
Epoch 82: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.09
Epoch 83: train_loss=0.35, train_acc=0.82, val_acc=0.84, time=0.15
Epoch 84: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.12
Epoch 85: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.17
Epoch 86: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.15
Epoch 87: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.22
Epoch 88: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.17
Epoch 89: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.17
Epoch 90: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.15
Epoch 91: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.17
Epoch 92: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.22
Epoch 93: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.11
Epoch 94: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.16
Epoch 95: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.16
Epoch 96: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.13
Epoch 97: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.17
Epoch 98: train_loss=0.34, train_acc=0.82, val_acc=0.84, time=0.15
Epoch 99: train_loss=0.33, train_acc=0.82, val_acc=0.84, time=0.22
Epoch 100: train_loss=0.33, train_acc=0.82, val_acc=0.84, time=0.26
Epoch 101: train_loss=0.33, train_acc=0.82, val_acc=0.84, time=0.15
Epoch 102: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.17
Epoch 103: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.25
Epoch 104: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.14
Epoch 105: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.15
Epoch 106: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.17
Epoch 107: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 108: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.20
Epoch 109: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.19
Epoch 110: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.19
Epoch 111: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.09
Epoch 112: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.14
Epoch 113: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.23
Epoch 114: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 115: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.26
Epoch 116: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.15
Epoch 117: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.16
Epoch 118: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.18
Epoch 119: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.44
Epoch 120: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.19
Epoch 121: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 122: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.18
Epoch 123: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.16
Epoch 124: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 125: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.07
Epoch 126: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.19
Epoch 127: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.10
Epoch 128: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.08
Epoch 129: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.14
Epoch 130: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.09
Epoch 131: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 132: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.09
Epoch 133: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.14
Epoch 134: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.10
Epoch 135: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.12
Epoch 136: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.17
Epoch 137: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.10
Epoch 138: train_loss=0.33, train_acc=0.82, val_acc=0.89, time=0.10
Epoch 139: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.07
Epoch 140: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.14
Epoch 141: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.18
Epoch 142: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.09
Epoch 143: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.08
Epoch 144: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 145: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.09
Epoch 146: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.08
Epoch 147: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.12
Epoch 148: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.08
Epoch 149: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.12
Epoch 150: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.10
Epoch 151: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.17
Epoch 152: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.12
Epoch 153: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.14
Epoch 154: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.10
Epoch 155: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.15
Epoch 156: train_loss=0.32, train_acc=0.81, val_acc=0.89, time=0.09
Epoch 157: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.12
Epoch 158: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.19
Epoch 159: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.15
Epoch 160: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.12
Epoch 161: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 162: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.15
Epoch 163: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 164: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 165: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.06
Epoch 166: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.18
Epoch 167: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.17
Epoch 168: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.15
Epoch 169: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.17
Epoch 170: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.16
Epoch 171: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.16
Epoch 172: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.23
Epoch 173: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 174: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 175: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 176: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.08
Epoch 177: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.17
Epoch 178: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.06
Epoch 179: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 180: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.10
Epoch 181: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 182: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.18
Epoch 183: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 184: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 185: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.10
Epoch 186: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 187: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.20
Epoch 188: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.09
Epoch 189: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.10
Epoch 190: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 191: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 192: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.11
Epoch 193: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.10
Epoch 194: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.09
Epoch 195: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.12
Epoch 196: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.09
Epoch 197: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.08
Epoch 198: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.08
Epoch 199: train_loss=0.32, train_acc=0.82, val_acc=0.89, time=0.13
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=0.78, train_acc=0.66, val_acc=0.67, time=0.09
Epoch 1: train_loss=0.45, train_acc=0.80, val_acc=0.67, time=0.16
Epoch 2: train_loss=0.47, train_acc=0.71, val_acc=0.67, time=0.21
Epoch 3: train_loss=0.39, train_acc=0.76, val_acc=0.67, time=0.14
Epoch 4: train_loss=0.44, train_acc=0.78, val_acc=0.67, time=0.15
Epoch 5: train_loss=0.37, train_acc=0.79, val_acc=0.67, time=0.16
Epoch 6: train_loss=0.37, train_acc=0.75, val_acc=0.67, time=0.19
Epoch 7: train_loss=0.35, train_acc=0.78, val_acc=0.67, time=0.15
Epoch 8: train_loss=0.34, train_acc=0.82, val_acc=0.67, time=0.23
Epoch 9: train_loss=0.33, train_acc=0.83, val_acc=0.67, time=0.15
Epoch 10: train_loss=0.34, train_acc=0.81, val_acc=0.67, time=0.15
Epoch 11: train_loss=0.33, train_acc=0.81, val_acc=0.72, time=0.15
Epoch 12: train_loss=0.32, train_acc=0.82, val_acc=0.72, time=0.15
Epoch 13: train_loss=0.32, train_acc=0.83, val_acc=0.72, time=0.19
Epoch 14: train_loss=0.31, train_acc=0.82, val_acc=0.72, time=0.22
Epoch 15: train_loss=0.31, train_acc=0.85, val_acc=0.72, time=0.18
Epoch 16: train_loss=0.30, train_acc=0.85, val_acc=0.72, time=0.10
Epoch 17: train_loss=0.31, train_acc=0.82, val_acc=0.72, time=0.10
Epoch 18: train_loss=0.30, train_acc=0.85, val_acc=0.78, time=0.16
Epoch 19: train_loss=0.30, train_acc=0.85, val_acc=0.83, time=0.18
Epoch 20: train_loss=0.30, train_acc=0.84, val_acc=0.83, time=0.19
Epoch 21: train_loss=0.29, train_acc=0.85, val_acc=0.83, time=0.13
Epoch 22: train_loss=0.29, train_acc=0.86, val_acc=0.83, time=0.27
Epoch 23: train_loss=0.29, train_acc=0.87, val_acc=0.83, time=0.17
Epoch 24: train_loss=0.29, train_acc=0.83, val_acc=0.83, time=0.14
Epoch 25: train_loss=0.28, train_acc=0.85, val_acc=0.78, time=0.15
Epoch 26: train_loss=0.29, train_acc=0.86, val_acc=0.78, time=0.28
Epoch 27: train_loss=0.28, train_acc=0.86, val_acc=0.83, time=0.12
Epoch 28: train_loss=0.29, train_acc=0.84, val_acc=0.78, time=0.17
Epoch 29: train_loss=0.29, train_acc=0.84, val_acc=0.83, time=0.11
Epoch 30: train_loss=0.28, train_acc=0.86, val_acc=0.83, time=0.30
Epoch 31: train_loss=0.28, train_acc=0.86, val_acc=0.83, time=0.13
Epoch 32: train_loss=0.28, train_acc=0.86, val_acc=0.83, time=0.10
Epoch 33: train_loss=0.28, train_acc=0.86, val_acc=0.83, time=0.18
Epoch 34: train_loss=0.28, train_acc=0.86, val_acc=0.83, time=0.06
Epoch 35: train_loss=0.28, train_acc=0.85, val_acc=0.83, time=0.06
Epoch 36: train_loss=0.28, train_acc=0.85, val_acc=0.83, time=0.07
Epoch 37: train_loss=0.28, train_acc=0.86, val_acc=0.83, time=0.06
Epoch 38: train_loss=0.27, train_acc=0.86, val_acc=0.83, time=0.05
Epoch 39: train_loss=0.28, train_acc=0.85, val_acc=0.83, time=0.08
Epoch 40: train_loss=0.28, train_acc=0.84, val_acc=0.83, time=0.11
Epoch 41: train_loss=0.28, train_acc=0.86, val_acc=0.83, time=0.17
Epoch 42: train_loss=0.28, train_acc=0.85, val_acc=0.83, time=0.08
Epoch 43: train_loss=0.27, train_acc=0.86, val_acc=1.00, time=0.08
Epoch 44: train_loss=0.27, train_acc=0.86, val_acc=1.00, time=0.10
Epoch 45: train_loss=0.27, train_acc=0.85, val_acc=1.00, time=0.12
Epoch 46: train_loss=0.27, train_acc=0.85, val_acc=0.89, time=0.15
Epoch 47: train_loss=0.27, train_acc=0.86, val_acc=0.89, time=0.10
Epoch 48: train_loss=0.27, train_acc=0.85, val_acc=1.00, time=0.08
Epoch 49: train_loss=0.27, train_acc=0.87, val_acc=1.00, time=0.13
Epoch 50: train_loss=0.27, train_acc=0.86, val_acc=1.00, time=0.11
Epoch 51: train_loss=0.27, train_acc=0.85, val_acc=1.00, time=0.15
Epoch 52: train_loss=0.27, train_acc=0.84, val_acc=1.00, time=0.10
Epoch 53: train_loss=0.27, train_acc=0.85, val_acc=1.00, time=0.16
Epoch 54: train_loss=0.27, train_acc=0.86, val_acc=1.00, time=0.10
Epoch 55: train_loss=0.26, train_acc=0.88, val_acc=1.00, time=0.12
Epoch 56: train_loss=0.27, train_acc=0.84, val_acc=0.83, time=0.08
Epoch 57: train_loss=0.27, train_acc=0.85, val_acc=1.00, time=0.10
Epoch 58: train_loss=0.26, train_acc=0.87, val_acc=1.00, time=0.11
Epoch 59: train_loss=0.26, train_acc=0.86, val_acc=0.89, time=0.12
Epoch 60: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.09
Epoch 61: train_loss=0.26, train_acc=0.85, val_acc=1.00, time=0.10
Epoch 62: train_loss=0.26, train_acc=0.85, val_acc=1.00, time=0.11
Epoch 63: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.13
Epoch 64: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.10
Epoch 65: train_loss=0.26, train_acc=0.86, val_acc=0.89, time=0.08
Epoch 66: train_loss=0.26, train_acc=0.87, val_acc=0.89, time=0.11
Epoch 67: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.14
Epoch 68: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.11
Epoch 69: train_loss=0.26, train_acc=0.85, val_acc=0.89, time=0.08
Epoch 70: train_loss=0.26, train_acc=0.85, val_acc=0.83, time=0.15
Epoch 71: train_loss=0.26, train_acc=0.85, val_acc=0.83, time=0.12
Epoch 72: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.10
Epoch 73: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.09
Epoch 74: train_loss=0.26, train_acc=0.85, val_acc=0.89, time=0.07
Epoch 75: train_loss=0.26, train_acc=0.85, val_acc=1.00, time=0.11
Epoch 76: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.11
Epoch 77: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.07
Epoch 78: train_loss=0.26, train_acc=0.85, val_acc=1.00, time=0.11
Epoch 79: train_loss=0.26, train_acc=0.85, val_acc=1.00, time=0.09
Epoch 80: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.09
Epoch 81: train_loss=0.26, train_acc=0.89, val_acc=1.00, time=0.11
Epoch 82: train_loss=0.26, train_acc=0.85, val_acc=0.89, time=0.17
Epoch 83: train_loss=0.26, train_acc=0.85, val_acc=0.89, time=0.11
Epoch 84: train_loss=0.26, train_acc=0.87, val_acc=1.00, time=0.05
Epoch 85: train_loss=0.26, train_acc=0.87, val_acc=0.89, time=0.06
Epoch 86: train_loss=0.26, train_acc=0.85, val_acc=0.89, time=0.06
Epoch 87: train_loss=0.26, train_acc=0.85, val_acc=1.00, time=0.08
Epoch 88: train_loss=0.26, train_acc=0.88, val_acc=1.00, time=0.05
Epoch 89: train_loss=0.26, train_acc=0.85, val_acc=0.89, time=0.07
Epoch 90: train_loss=0.26, train_acc=0.85, val_acc=1.00, time=0.05
Epoch 91: train_loss=0.26, train_acc=0.87, val_acc=1.00, time=0.07
Epoch 92: train_loss=0.25, train_acc=0.88, val_acc=1.00, time=0.06
Epoch 93: train_loss=0.25, train_acc=0.86, val_acc=1.00, time=0.05
Epoch 94: train_loss=0.25, train_acc=0.85, val_acc=1.00, time=0.09
Epoch 95: train_loss=0.25, train_acc=0.86, val_acc=0.89, time=0.07
Epoch 96: train_loss=0.25, train_acc=0.87, val_acc=0.94, time=0.06
Epoch 97: train_loss=0.25, train_acc=0.88, val_acc=0.89, time=0.29
Epoch 98: train_loss=0.26, train_acc=0.85, val_acc=0.83, time=0.08
Epoch 99: train_loss=0.26, train_acc=0.85, val_acc=0.94, time=0.05
Epoch 100: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.08
Epoch 101: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.07
Epoch 102: train_loss=0.25, train_acc=0.86, val_acc=0.89, time=0.06
Epoch 103: train_loss=0.25, train_acc=0.85, val_acc=0.89, time=0.06
Epoch 104: train_loss=0.25, train_acc=0.86, val_acc=0.89, time=0.08
Epoch 105: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.06
Epoch 106: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.12
Epoch 107: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.13
Epoch 108: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.06
Epoch 109: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.08
Epoch 110: train_loss=0.25, train_acc=0.86, val_acc=0.89, time=0.07
Epoch 111: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.07
Epoch 112: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.06
Epoch 113: train_loss=0.25, train_acc=0.87, val_acc=0.83, time=0.07
Epoch 114: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.06
Epoch 115: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.07
Epoch 116: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.07
Epoch 117: train_loss=0.25, train_acc=0.86, val_acc=0.89, time=0.07
Epoch 118: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.18
Epoch 119: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.16
Epoch 120: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.13
Epoch 121: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.21
Epoch 122: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.15
Epoch 123: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.18
Epoch 124: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.15
Epoch 125: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.11
Epoch 126: train_loss=0.25, train_acc=0.88, val_acc=0.89, time=0.14
Epoch 127: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.30
Epoch 128: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.15
Epoch 129: train_loss=0.25, train_acc=0.86, val_acc=0.83, time=0.17
Epoch 130: train_loss=0.25, train_acc=0.87, val_acc=0.89, time=0.27
